기준년,분기,상권구분코드,상권구분코드명,상권코드,상권코드명,총유동인구,남성유동인구,여성유동인구,10대유동인구,20대유동인구,30대유동인구,40대유동인구,50대유동인구,60대이상유동인구
2019,3,A,골목상권,1000648,새말로18길,830770,403594,427176,80707,176055,186450,126356,113969,147232
2019,3,A,골목상권,1000649,신도림로13길,260459,129914,130547,56094,26849,39502,45035,37829,55152
2019,3,A,골목상권,1000650,오류로8길,1131625,519160,612466,127519,160949,187569,168198,159538,327853
2019,3,A,골목상권,1000651,우마길,302390,159288,143102,16018,36901,55340,57763,58782,77589
2019,3,A,골목상권,1000652,중앙로15길,330385,159524,170860,73780,35432,41765,52590,44175,82643
2019,3,A,골목상권,1000653,중앙로1길,330243,158312,171930,66196,44415,44407,54347,52138,68743
2019,3,A,골목상권,1000654,가산로3길,215888,123176,92714,14145,45554,56730,34868,30190,34402
2019,3,A,골목상권,1000655,가산로5길,513620,281856,231764,33155,110163,133034,78790,71091,87387
2019,3,A,골목상권,1000656,금하로14길,293193,140374,152820,39095,39245,41291,43191,49992,80380
2019,3,A,골목상권,1000657,금하로1길,432840,211852,220988,75524,49619,64395,73099,67494,102706
2019,3,A,골목상권,1000658,금하로24길,353484,167407,186077,62810,42909,45214,52837,51600,98113
2019,3,A,골목상권,1000659,남부순환로112길,378483,201394,177089,21272,84675,89079,55639,57028,70790
2019,3,A,골목상권,1000660,독산로108길,622625,292482,330143,75654,81862,91256,94523,113848,165482
2019,3,A,골목상권,1000661,독산로40길,587001,265490,321511,90855,70468,76531,84905,96926,167315
2019,3,A,골목상권,1000662,독산로50길,271214,119366,151849,50291,32127,35323,36540,42823,74110
2019,3,A,골목상권,1000663,독산로64길,419925,195510,224416,53184,53305,62613,64336,75412,111075
2019,3,A,골목상권,1000664,독산로70길,613692,290372,323321,63921,77090,94001,95865,114586,168229
2019,3,A,골목상권,1000665,독산로78다길,958919,447680,511239,108680,115411,141923,147427,168639,276840
2019,3,A,골목상권,1000666,독산로85길,128255,61798,66457,11152,16139,19701,20142,25687,35433
2019,3,A,골목상권,1000667,문성로5길,511575,243586,267989,55732,73336,89274,75333,93230,124672
2019,3,A,골목상권,1000668,범안로11길,271229,153561,117669,23502,51726,61808,47644,42235,44315
2019,3,A,골목상권,1000669,범안로17길,287531,156117,131413,28906,49650,58590,47850,49343,53191
2019,3,A,골목상권,1000670,벚꽃로56길,445816,253996,191819,23575,84140,96457,91040,75197,75406
2019,3,A,골목상권,1000671,시흥대로120길,460722,219683,241039,41749,62061,77171,73731,85601,120410
2019,3,A,골목상권,1000672,시흥대로138길,247927,125847,122080,18933,34887,41893,41242,49349,61623
2019,3,A,골목상권,1000673,시흥대로141길,498748,272522,226226,44919,99933,110764,72392,74619,96120
2019,3,A,골목상권,1000674,시흥대로150길,822041,410816,411226,67034,126248,173189,133334,139849,182388
2019,3,A,골목상권,1000675,시흥대로153길,427019,221413,205606,33181,88342,98331,58116,65817,83232
2019,3,A,골목상권,1000676,시흥대로22길,494856,240115,254741,77849,49751,75880,74242,83014,134118
2019,3,A,골목상권,1000677,시흥대로36길,370045,176461,193585,70489,38869,56302,50615,56267,97504
2019,3,A,골목상권,1000678,시흥대로62가길,566816,270198,296619,65890,72288,82745,89259,100252,156382
2019,3,A,골목상권,1000679,시흥대로63길,214890,107149,107740,20425,32093,39094,34010,35993,53274
2019,3,A,골목상권,1000680,시흥대로68길,520765,242351,278414,48405,62075,81261,81624,97204,150196
2019,3,A,골목상권,1000681,시흥대로84길,823706,385309,438398,87296,110032,129806,124064,146311,226197
2019,3,A,골목상권,1000682,시흥대로94길,732153,364704,367448,70575,114791,135359,117606,127351,166469
2019,3,A,골목상권,1000683,가마산로61길,736158,353054,383104,121695,87342,99873,110094,130269,186885
2019,3,A,골목상권,1000684,경인로77길,392581,202961,189620,29505,56985,77548,73483,63169,91892
2019,3,A,골목상권,1000685,경인로80길,352027,182240,169785,24230,52900,70929,65115,56518,82333
2019,3,A,골목상권,1000686,경인로90길,255161,126873,128288,17266,47028,54601,47284,38075,50906
2019,3,A,골목상권,1000687,국회대로56길,377593,196460,181132,16818,82486,99792,62638,54197,61661
2019,3,A,골목상권,1000688,당산로31길,580564,276778,303785,60396,86162,121022,103896,90348,118740
2019,3,A,골목상권,1000689,당산로37길,288930,138454,150474,49262,44812,58253,45799,36631,54172
2019,3,A,골목상권,1000690,당산로38길,504226,238755,265470,78108,86529,102174,75137,65124,97154
2019,3,A,골목상권,1000691,당산로46길,681567,330256,351311,60426,135162,133707,95630,98440,158204
2019,3,A,골목상권,1000692,대림로22길,1068285,514195,554089,98770,122789,150891,174784,191758,329293
2019,3,A,골목상권,1000693,대림로29길,1499226,730029,769196,105687,230241,268089,254482,280040,360686
2019,3,A,골목상권,1000694,대림로31길,441449,224679,216770,59086,55252,76096,77553,84656,88806
2019,3,A,골목상권,1000695,대림로34길,738915,369028,369887,118129,80195,95984,122999,143839,177769
2019,3,A,골목상권,1000696,대림로44길,686095,323915,362179,88989,87619,101916,113091,126802,167676
2019,3,A,골목상권,1000697,대림로7길,210131,101334,108798,18089,29105,35734,35361,36730,55113
2019,3,A,골목상권,1000698,대림로8길,847371,384790,462581,80746,143229,127818,134746,138209,222622
2019,3,A,골목상권,1000699,도림로112길,689030,315168,373862,109731,75451,106735,105744,116681,174691
2019,3,A,골목상권,1000700,도림로147길,355414,173715,181700,56951,43254,64517,64140,48107,78445
2019,3,A,골목상권,1000701,도림로63길,436659,218181,218478,63083,47122,54313,71152,81223,119766
2019,3,A,골목상권,1000702,도림천로21길,1115768,541994,573774,78337,208283,230345,193751,164601,240452
2019,3,A,골목상권,1000703,도신로15길,1029995,492504,537491,122091,149105,188881,155841,169222,244853
2019,3,A,골목상권,1000704,도신로29길,420139,197907,222232,67019,44575,59155,60700,73596,115095
2019,3,A,골목상권,1000705,도신로60길,379259,174680,204580,49778,42404,50112,59777,61375,115813
